Membership No  Date Joined  Active  
    84052      2017-5-23    no    
    74353      2019-4-22    no    
    70228      2015-4-18    no    
    98702      2017-1-20    no    
    55741      2019-5-24    no    
    56951      2018-10-21   no    
    80314      2016-2-17    no    
    74055      2016-5-15    no    
    63570      2016-11-23   no    
    48564      2015-10-11   no    
    68458      2018-2-8     no    
    94172      2018-5-2     no    
    31989      2018-7-4     no    
    37842      2016-5-12    no    
