Membership No  Date Joined  Active  
    69439      2016-1-12    yes   
    91609      2019-12-10   yes   
    66013      2019-1-20    no    
    88372      2019-10-11   yes   
    98142      2018-8-16    yes   
    64303      2016-7-1     no    
    83764      2017-10-4    yes   
    81260      2020-3-22    yes   
    82642      2020-7-6     yes   
    97991      2020-4-18    no    
    32743      2015-1-6     yes   
    34944      2019-3-10    yes   
    19863      2018-1-23    yes   
    35735      2017-2-5     no    
    88000      2018-8-17    no    
    17058      2019-8-18    no    
    71150      2018-8-14    yes   
    26822      2015-4-23    yes   
    42072      2019-11-5    yes   
    55180      2016-8-15    yes   
