Membership No  Date Joined  Active  
    69439      2016-1-12    yes   
    91609      2019-12-10   yes   
    88372      2019-10-11   yes   
    98142      2018-8-16    yes   
    83764      2017-10-4    yes   
    81260      2020-3-22    yes   
    82642      2020-7-6     yes   
    32743      2015-1-6     yes   
    34944      2019-3-10    yes   
    19863      2018-1-23    yes   
    71150      2018-8-14    yes   
    26822      2015-4-23    yes   
    42072      2019-11-5    yes   
    55180      2016-8-15    yes   
